job_title,job_category,salary_in_usd,experience_level,employment_type,work_setting,neighbourhood_group,neighbourhood,rent,latitude,longitude,amenity,amenity_value
Research Scientist,Data Science and Research,144000.0,Mid-level,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,3775.0,40.68471,-73.94073,floor,12.0
Data Architect,Data Architecture and Modeling,135000.0,Senior,Full-time,Remote,Manhattan,Upper West Side,2900.0,40.79335,-73.97066,has_roofdeck,0.0
Data Engineer,Data Engineering,67672.0,Mid-level,Full-time,Remote,Manhattan,West Village,3540.0,40.73368,-74.00797,has_roofdeck,0.0
AI Engineer,Machine Learning and AI,136800.0,Senior,Full-time,In-person,Brooklyn,Clinton Hill,3500.0,40.68358,-73.96424,has_washer_dryer,0.0
Research Engineer,Data Science and Research,170112.0,Senior,Full-time,In-person,Manhattan,Harlem,3800.0,40.82613,-73.93842,min_to_subway,2.0
Machine Learning Engineer,Machine Learning and AI,204500.0,Senior,Full-time,In-person,Manhattan,Chelsea,2300.0,40.74284,-74.00691,min_to_subway,9.0
Data Scientist,Data Science and Research,156000.0,Senior,Full-time,Remote,Queens,Flushing,7900.0,40.75605,-73.82007,has_dishwasher,1.0
Data Analyst,Data Analysis,105000.0,Mid-level,Full-time,In-person,Queens,Astoria,11750.0,40.76619,-73.91724,has_dishwasher,0.0
Machine Learning Engineer,Machine Learning and AI,309000.0,Senior,Full-time,In-person,Brooklyn,Fort Greene,4010.0,40.68987,-73.97681,floor,14.0
Data Scientist,Data Science and Research,115000.0,Mid-level,Full-time,Remote,Manhattan,Little Italy,2550.0,40.7192,-73.99458,min_to_subway,5.0
Machine Learning Engineer,Machine Learning and AI,220000.0,Mid-level,Full-time,In-person,Manhattan,Upper West Side,4990.0,40.79864,-73.96209,has_washer_dryer,0.0
Data Scientist,Data Science and Research,254000.0,Senior,Full-time,In-person,Brooklyn,Greenpoint,3970.0,40.72119,-73.95279,has_patio,0.0
Applied Scientist,Data Science and Research,260000.0,Senior,Full-time,In-person,Manhattan,Chinatown,5018.0,40.71738,-73.99231,has_doorman,0.0
Machine Learning Engineer,Machine Learning and AI,297300.0,Senior,Full-time,Remote,Manhattan,Upper West Side,3365.0,40.77748,-73.97764,bedrooms,1.0
Data Engineer,Data Engineering,223250.0,Senior,Full-time,In-person,Brooklyn,Crown Heights,4180.0,40.67456,-73.96305,building_age_yrs,39.0
Data Scientist,Data Science and Research,104000.0,Senior,Full-time,Remote,Brooklyn,Williamsburg,3750.0,40.71542,-73.93821,bathrooms,1.0
Data Scientist,Data Science and Research,178600.0,Senior,Full-time,In-person,Brooklyn,Prospect-Lefferts Gardens,3200.0,40.65721,-73.95525,has_doorman,1.0
Data Engineer,Data Engineering,212175.0,Senior,Full-time,Remote,Brooklyn,Sheepshead Bay,2795.0,40.583683,-73.958626,has_elevator,1.0
Data Architect,Data Architecture and Modeling,92000.0,Senior,Full-time,Remote,Manhattan,Upper West Side,5995.0,40.7717,-73.98759,bedrooms,1.0
Data Engineer,Data Engineering,158400.0,Mid-level,Full-time,In-person,Manhattan,Greenwich Village,3645.0,40.72945,-73.99931,has_roofdeck,0.0
Research Engineer,Data Science and Research,180000.0,Senior,Full-time,In-person,Brooklyn,Brooklyn Heights,10995.0,40.69722,-73.99209,has_doorman,0.0
Data Scientist,Data Science and Research,101000.0,Senior,Full-time,Remote,Manhattan,Chelsea,3775.0,40.74565,-73.99822,min_to_subway,3.0
Director of Data Science,Data Science and Research,353200.0,Executive,Full-time,In-person,Manhattan,Upper West Side,5000.0,40.79065,-73.97105,floor,6.0
Business Data Analyst,Data Analysis,35000.0,Mid-level,Contract,Remote,Manhattan,East Harlem,12500.0,40.79393,-73.9507,bedrooms,3.0
Data Analyst,Data Analysis,135000.0,Senior,Full-time,In-person,Brooklyn,Midwood,2750.0,40.62403,-73.9618,building_age_yrs,96.0
Research Scientist,Data Science and Research,225000.0,Senior,Full-time,In-person,Manhattan,Murray Hill,2200.0,40.74793,-73.97887,has_doorman,1.0
Machine Learning Engineer,Machine Learning and AI,159350.0,Senior,Full-time,In-person,Brooklyn,Williamsburg,4600.0,40.70674,-73.94365,has_doorman,0.0
Data Scientist,Data Science and Research,300000.0,Senior,Full-time,In-person,Brooklyn,Clinton Hill,4200.0,40.68818,-73.96383,no_fee,1.0
Data Engineer,Data Engineering,128750.0,Senior,Full-time,In-person,Manhattan,Chelsea,2895.0,40.74766,-73.99434,no_fee,1.0
Data Analyst,Data Analysis,147600.0,Mid-level,Full-time,In-person,Brooklyn,Williamsburg,18000.0,40.70752,-73.94416,building_age_yrs,6.0
Data Analyst,Data Analysis,125000.0,Executive,Full-time,Remote,Manhattan,Gramercy,4300.0,40.73545,-73.98238,no_fee,0.0
Data Analyst,Data Analysis,110000.0,Senior,Full-time,Remote,Brooklyn,Boerum Hill,2000.0,40.68637,-73.98602,has_gym,0.0
Machine Learning Researcher,Machine Learning and AI,166000.0,Senior,Full-time,In-person,Brooklyn,Bedford-Stuyvesant,9995.0,40.69049,-73.93212,no_fee,1.0
Data Scientist,Data Science and Research,212000.0,Mid-level,Full-time,In-person,Brooklyn,Greenpoint,1500.0,40.7203,-73.93965,building_age_yrs,106.0
Data Manager,Leadership and Management,73500.0,Mid-level,Full-time,In-person,Manhattan,Gramercy,3150.0,40.7337,-73.98268,has_patio,0.0
Machine Learning Scientist,Machine Learning and AI,171000.0,Senior,Full-time,Remote,Manhattan,Upper West Side,3500.0,40.79973,-73.9711,has_doorman,0.0
Data Analyst,Data Analysis,192000.0,Senior,Full-time,Remote,Brooklyn,Bedford-Stuyvesant,4550.0,40.69119,-73.95464,no_fee,1.0
Data Scientist,Data Science and Research,70000.0,Entry-level,Full-time,In-person,Brooklyn,Park Slope,6075.0,40.68001,-73.97473,has_dishwasher,0.0
